Date,Open,High,Low,Close,Volume,Market Cap
2023-09-17,0.0624937727061783,0.0628683919919751,0.0617999620156201,0.0621016803336195,1222270351.5749128,8782683271.062717
2023-09-18,0.0620419825347226,0.0625055801998723,0.0611198303147245,0.0614683061961194,1125024806.2857144,8735751775.675959
2023-09-19,0.0615600074354829,0.0628008317998893,0.0610329344469632,0.0619956391143034,1505850353.2902098,8737869968.877623
2023-09-20,0.0621640750029659,0.0632073698788014,0.0619482202422677,0.0627117710469329,1119068667.9233449,8819003677.073172
2023-09-21,0.0626725156071438,0.0629657995452245,0.0618526768598564,0.0625915926419438,866277227.4181185,8801653310.376307
2023-09-22,0.0625727909381506,0.0632715479991113,0.0611839723508856,0.0612749031146143,1384434257.2543554,8744840459.756098
2023-09-23,0.0613798185983124,0.0618396889218143,0.0609548886588869,0.0615257649239914,1062554446.0278746,8683016183.592335
2023-09-24,0.0615815601168433,0.0618047872923879,0.0613143496837917,0.0615433070760719,631006825.7108014,8690614532.679443
2023-09-25,0.0614410639863279,0.0617348754756802,0.0606357943223807,0.0606813805160964,618194892.6236933,8672154096.51568
2023-09-26,0.0606756603388517,0.0612067273124143,0.0603835982822034,0.0609420222557063,778564107.9163764,8588628821.864112
2023-09-27,0.0609094723041365,0.0611081097816392,0.059906540244032,0.0605532433919084,550212668.7839721,8565290399.58885
2023-09-28,0.0605972679879169,0.0613513238614902,0.060263715519547,0.0605157473497561,838054999.7108014,8562128453.348432
2023-09-29,0.0604722984876736,0.06163809543818,0.0603896549398336,0.0615092694742861,423193037.4843206,8612249290.195122
2023-09-30,0.0614632188313814,0.0623452229112317,0.0613646581541583,0.0621577729824024,462218259.5679442,8728790170.198606
2023-10-01,0.0621678810149379,0.062510372738209,0.0617578768379646,0.0620907958273654,371883671.82229966,8761548331.22648
2023-10-02,0.0620966276263068,0.0635268205804635,0.0618113707331795,0.0632229952692832,391970113.456446,8806558241.630663
2023-10-03,0.0632212367290465,0.0639692149066978,0.0615465765103749,0.0620986501273971,656801664.2996516,8899087964.665504
2023-10-04,0.0620519666065654,0.0622977332883393,0.0612204506585929,0.0613460315647494,605487586.010453,8727949904.09756
2023-10-05,0.0612783026416505,0.0615698339197816,0.0603225611985871,0.0614660848229396,455842061.8606272,8622102416.393728
2023-10-06,0.0614436145770688,0.0616605361704693,0.0608470493841091,0.0608817910126222,323098228.8780488,8633039128.84669
2023-10-07,0.0609755523389344,0.0615431059476741,0.0607845143447719,0.0614068783462607,325036556.8327526,8644551627.571428
2023-10-08,0.061443751106271,0.0616742394210908,0.0610996394395237,0.0614476360635764,319974965.9581882,8678659449.400698
2023-10-09,0.0614964442763482,0.0616283829605848,0.0608246026338897,0.0609912791453354,244742128.3205575,8653767517.310104
2023-10-10,0.0609955968659267,0.0610151091691317,0.0581089473967168,0.0587456702085443,458243837.2299652,8423126002.644599
2023-10-11,0.0587560233300244,0.0592406963132039,0.0585729067784554,0.0590420989458159,475067989.1393728,8326472948.728223
2023-10-12,0.0592675634426445,0.059481506343219,0.0577679753271901,0.0584553896726555,373191415.09407663,8292197835.066202
2023-10-13,0.0584672054169817,0.0584938147342111,0.0574783464590147,0.0578497981630766,351331480.62020904,8204517025.839722
2023-10-14,0.0578887496871429,0.0587604222573695,0.0578396190151442,0.0583659907834172,322368740.4738676,8227801849.167248
2023-10-15,0.058431285190454,0.0599695987353053,0.0583998871993906,0.0598512102097519,335773348.78397214,8347201761.982578
2023-10-16,0.0598693750949391,0.0598693750949391,0.0590786474880991,0.059275571969907,280180744.09894,8404870509.261484
2023-10-17,0.0593279306153352,0.0610713578575735,0.0593248522349729,0.0600523488133922,463296530.9721254,8471997702.23345
2023-10-18,0.0600403357422925,0.0601637156389511,0.0587679909388042,0.0590807150106673,504838268.9581882,8420409321.599303
2023-10-19,0.0590699120897001,0.0592752006646394,0.0583342294191885,0.0586216331842316,340972539.72125435,8316675220.71777
2023-10-20,0.0586095293231756,0.0588893171767821,0.0577504723683652,0.0588893171767821,330645982.4076655,8261628552.310104
2023-10-21,0.0589716722933872,0.0603391520654848,0.0587056265690878,0.0599512398083678,400559636.0522648,8454995031.052265
2023-10-22,0.0600230944168863,0.0613812865828941,0.059541278500807,0.0611677387350816,378828525.6167247,8571125477.536586
2023-10-23,0.0611111045173222,0.0617069547480795,0.0605183866990893,0.061602218959517,445245736.0243902,8639886766.627178
2023-10-24,0.0617522097861183,0.0672642872188628,0.0614422069889387,0.0669292247501299,931542247.184669,9023563950.71777
2023-10-25,0.0678545152667096,0.0696681151409663,0.0648396530422805,0.0665209643002965,1851619368.317073,9494014442.634146
2023-10-26,0.0665255878027524,0.0694870118956041,0.064962756652171,0.0682410995264539,1212249803.7038329,9452761306.296167
2023-10-27,0.0681907237224812,0.0748422463970738,0.068141308392066,0.0718424681475293,2058973568.817544,10121329516.305264
2023-10-28,0.0717680793052355,0.0722737855141298,0.0674985354935527,0.0678460703606698,1497366386.9094076,9931068202.700348
2023-10-29,0.0678902690549073,0.0696869741328935,0.0676181803807197,0.0690523115893308,824983028.2195122,9737507901.397211
2023-10-30,0.0689634392635472,0.0700959822993528,0.0678410143762029,0.0693935928090846,486058908.28223,9778248782.843206
2023-10-31,0.0694404145714424,0.0704051805094718,0.0681608193045269,0.0696926883504523,550846452.1463414,9811794633.756098
2023-11-01,0.0695989608134913,0.0707138241715166,0.0669703406744075,0.0682879029973277,807647723.1219512,9747074008.320557
2023-11-02,0.0681535782932508,0.0696309585617008,0.0660841400715497,0.0688968102703543,984214627.8536586,9555633751.954704
2023-11-03,0.0689395364823878,0.0704331376662526,0.0672756303989568,0.0679458618827554,1165273532.609756,9754498233.31359
2023-11-04,0.0679214979586589,0.0682693118789775,0.0664595444068331,0.0682349048389436,845407655.3414634,9567461260.592337
2023-11-05,0.0681440596902088,0.0692772278497549,0.0681008582828844,0.0690534584560023,510367689.6759582,9730089550.68641
2023-11-06,0.0693027335881823,0.0716407637223985,0.0690445595810696,0.0713754120635847,668285484.0278746,9959015961.20906
2023-11-07,0.0712142172192082,0.0764086734769758,0.0705801269561021,0.0764086734769758,1208560877.3449478,10360398545.494774
2023-11-08,0.0760435018024038,0.0761095615386964,0.0718399218812768,0.0735124197427802,1741066077.968641,10499632744.449478
2023-11-09,0.0733661091592249,0.0760928435691007,0.0730280760757328,0.0755902433040291,1254997031.1114984,10553019562.125437
2023-11-10,0.0754759212031316,0.0777457929543915,0.0704261838730157,0.0735122662211023,1487751618.641115,10595586657.69338
2023-11-11,0.0733018510540828,0.0755855543160641,0.0731688260321088,0.0754241451921277,1787462415.6445992,10525370871.473867
2023-11-12,0.075470406503665,0.0815684915358703,0.0749344562045216,0.0783539449176361,2049293225.1986065,11180780741.616724
2023-11-13,0.0786090864277605,0.0798576997309928,0.0758557214751575,0.0780330120571751,2009339654.0522647,11103095533.181185
2023-11-14,0.0778023407691262,0.0793551477572988,0.0743603893050413,0.0748364945000754,1359672035.132404,10919188639.696863
2023-11-15,0.0746537552951455,0.0755042504963566,0.0702399677960018,0.0725456441605382,1469575847.9094076,10482087251.101046
2023-11-16,0.0726298567354145,0.0764875244422546,0.072483126831958,0.0763173762872242,1209557088.9163764,10510272282.15331
